station,latitude,longitude,trafic,ville,ligne
MICHELANGEAUTEUIL_9,3.7766391752532127,52.61642074440492,2175029,Paris,9
MICHELANGEAUTEUIL_10,3.7766391752532127,52.61642074440492,2175029,Paris,10
MICHELANGEMOLITOR_9,3.775764530163023,52.61451835818938,2298330,Paris,9
MICHELANGEMOLITOR_10,3.775764530163023,52.61451835818938,2298330,Paris,10
MICHELBIZOT_8,3.836370915463045,52.61359977866663,2009808,Paris,8
MIRABEAU_10,3.780393181300629,52.616181664255365,1422224,Paris,10
MIROMESNIL_9,3.797115014840428,52.634594507005865,6391877,Paris,9
MIROMESNIL_13,3.797115014840428,52.634594507005865,6391877,Paris,13
MONCEAU_2,3.794602948092663,52.63879514012972,1804353,Paris,2
MONTGALLET_8,3.830779448521719,52.61793743082309,1690677,Paris,8
MONTPARNASSEBIENVENUE_4,3.801408093509549,52.6143699706543,30646580,Paris,4
MONTPARNASSEBIENVENUE_6,3.801408093509549,52.6143699706543,30646580,Paris,6
MONTPARNASSEBIENVENUE_12,3.801408093509549,52.6143699706543,30646580,Paris,12
MONTPARNASSEBIENVENUE_13,3.801408093509549,52.6143699706543,30646580,Paris,13
MOUTONDUVERNET_4,3.805519766443574,52.60751911084553,1645671,Paris,4
NATION_1,3.8329795585395448,52.62015367143876,8638165,Paris,1
NATION_2,3.8329795585395448,52.62015367143876,8638165,Paris,2
NATION_6,3.8329795585395448,52.62015367143876,8638165,Paris,6
NATION_9,3.8329795585395448,52.62015367143876,8638165,Paris,9
NATIONALE_6,3.819633120674521,52.60987723990452,2970029,Paris,6
NOTREDAMEDELORETTE_12,3.806974537886888,52.63678718604529,2943066,Paris,12
NOTREDAMEDESCHAMPS_12,3.80449223190164,52.616429960198346,2146424,Paris,12
OBERKAMPF_5,3.8205633542822945,52.63036299929084,4580340,Paris,5
OBERKAMPF_9,3.8205633542822945,52.63036299929084,4580340,Paris,9
ODEON_4,3.808847362302143,52.62151338471491,5905175,Paris,4
ODEON_10,3.808847362302143,52.62151338471491,5905175,Paris,10
OLYMPIADES_14,3.822125883936295,52.60619080985725,7306272,Paris,14
OPERA_3,3.804882047254939,52.63304422117431,11175606,Paris,3
OPERA_7,3.804882047254939,52.63304422117431,11175606,Paris,7
OPERA_8,3.804882047254939,52.63304422117431,11175606,Paris,8
OURCQ_5,3.82746320280016,52.64544614799174,4089055,Paris,5
PALAISROYALMUSEEDULOUVRE_1,3.807004310853167,52.627908517592594,9648312,Paris,1
PALAISROYALMUSEEDULOUVRE_7,3.807004310853167,52.627908517592594,9648312,Paris,7
PARMENTIER_3,3.823178409759289,52.6309351401573,3283276,Paris,3
PASSY_6,3.78552013305479,52.62323398604229,4124316,Paris,6
PASTEUR_6,3.7977543566156977,52.61448877526637,5217986,Paris,6
PASTEUR_12,3.7977543566156977,52.61448877526637,5217986,Paris,12
PELLEPORT_3bis,3.834581164036132,52.63381583870435,371005,Paris,3bis
PEREIRE_3,3.789383379133474,52.64131953275629,4804340,Paris,3
PERELACHAISE_2,3.828875765985463,52.6296515857824,4882748,Paris,2
PERELACHAISE_3,3.828875765985463,52.6296515857824,4882748,Paris,3
PERNETY_13,3.8004076055081657,52.60899661902017,3310917,Paris,13
PHILIPPEAUGUSTE_2,3.8299789797605786,52.62701075414219,1922463,Paris,2
PICPUS_6,3.835553407847617,52.6187020110607,1404477,Paris,6
PIERREETMARIECURIE_7,3.8266090049743697,52.59914059812139,1608512,Ivry,7
PIGALLE_2,3.806430538819335,52.64088041769742,5949716,Paris,2
PIGALLE_12,3.806430538819335,52.64088041769742,5949716,Paris,12
PLACEDECLICHY_2,3.8023284909580375,52.64138840458252,8769157,Paris,2
PLACEDECLICHY_13,3.8023284909580375,52.64138840458252,8769157,Paris,13
PLACEDESFETES_11,3.830513699267221,52.63905099347902,2987172,Paris,11
PLACEDESFETES_7bis,3.830513699267221,52.63905099347902,2987172,Paris,7bis
PLACEDITALIE_5,3.816617599972078,52.6082068523868,11508361,Paris,5
PLACEDITALIE_6,3.816617599972078,52.6082068523868,11508361,Paris,6
PLACEDITALIE_7,3.816617599972078,52.6082068523868,11508361,Paris,7
PLACEMONGE_7,3.8146333952436575,52.615792977452905,3134478,Paris,7
PLAISANCE_13,3.798807723618282,52.607514286794895,5091432,Paris,13
POINTEDULAC_8,3.866284549385642,52.57129981397095,2924153,Créteil,8
POISSONNIERE_7,3.811801652399746,52.63791178839665,3704783,Paris,7
PONTDELEVALLOISBECON_3,3.7811370397314312,52.64913852957306,5374925,Levallois-Perret,3
PONTDENEUILLY_1,3.773468611688728,52.64010188951173,7127658,Neuilly Sur Seine,1
PONTDESEVRES_9,3.763183860602603,52.60367181677569,5332900,Boulogne Billancourt,9
PONTMARIE_7,3.816256945396209,52.62286215732387,1769299,Paris,7
PONTNEUF_7,3.809634274157967,52.62562920809952,1613273,Paris,7
PORTEDAUPHINE_2,3.7811525603171057,52.632033970265326,3119154,Paris,2
PORTEDAUTEUIL_10,3.7739204683659087,52.61628402190682,652631,Paris,10
PORTEDEBAGNOLET_3,3.837529823802985,52.63153330174667,4347994,Paris,3
PORTEDECHAMPERRET_3,3.787142559771726,52.6417466205124,3431010,Paris,3
PORTEDECHARENTON_8,3.8361758121821503,52.61101715359416,2262053,Paris,8
PORTEDECHOISY_7,3.820965819581872,52.601304737904464,2943551,Paris,7
PORTEDECLICHY_13,3.795826190666107,52.64783936607273,4410686,Paris,13
PORTEDECLIGNANCOURT_4,3.808975280200811,52.650803375454835,8050206,Paris,4
PORTEDELACHAPELLE_12,3.8152528647840422,52.65114363893599,2673189,Paris,12
PORTEDELAVILLETTE_7,3.826366724860028,52.65202511276664,4162037,Paris,7
PORTEDEMONTREUIL_9,3.8391574668129183,52.62446932227247,4735534,Paris,9
PORTEDEPANTIN_5,3.829604549757112,52.64648728656091,5377661,Paris,5
PORTEDESLILAS_11,3.836279197904836,52.63960893903234,3868367,Paris,11
PORTEDESLILAS_3bis,3.836279197904836,52.63960893903234,3868367,Paris,3bis
PORTEDESTCLOUD_9,3.7740998641521144,52.60979588354408,5386794,Paris,9
PORTEDESTOUEN_13,3.8021735864318646,52.65030878228565,3764392,Paris,13
PORTEDEVANVES_13,3.795308872622423,52.604653532214606,4907106,Paris,13
PORTEDEVERSAILLES_12,3.787591453392967,52.60714229871387,6388506,Paris,12
PORTEDEVINCENNES_1,3.839247518308284,52.6203283195165,7164764,Paris,1
PORTEDITALIE_7,3.8189261753328942,52.60073661850811,2444086,Paris,7
PORTEDIVRY_7,3.822938023805811,52.60240540309671,2045606,Paris,7
PORTEDOREE_8,3.8377866932563345,52.6121861650984,2850341,Paris,8
PORTEDORLEANS_4,3.8041002346771697,52.60241744939143,6669356,Paris,4
PORTEMAILLOT_1,3.7834818394744776,52.636144176923885,8181976,Paris,1
PRESTGERVAIS_7bis,3.832923801322864,52.64120061333697,389255,Paris,7bis
PYRAMIDES_7,3.805911087786142,52.63019079565319,5277037,Paris,7
PYRAMIDES_14,3.805911087786142,52.63019079565319,5277037,Paris,14
PYRENEES_11,3.8273742871753655,52.63683544001404,3354023,Paris,11
QUAIDELAGARE_6,3.8237292063830264,52.61265374560121,3252321,Paris,6
QUAIDELARAPEE_5,3.820313385558076,52.61856331503935,1273466,Paris,5
QUATRESEPTEMBRE_3,3.8065549072693905,52.63257607742087,2038075,Paris,3
RAMBUTEAU_11,3.814336058531182,52.62768130144972,4074086,Paris,11
